"Id","WhoId","WhatId","WhoCount","WhatCount","Subject","Location","IsAllDayEvent","ActivityDateTime","ActivityDate","DurationInMinutes","Description","AccountId","OwnerId","Type","IsPrivate","ShowAs","IsDeleted","IsChild","IsGroupEvent","GroupEventType","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsArchived","RecurrenceActivityId","IsRecurrence","RecurrenceStartDateTime","RecurrenceEndDateOnly","RecurrenceTimeZoneSidKey","RecurrenceType","RecurrenceInterval","RecurrenceDayOfWeekMask","RecurrenceDayOfMonth","RecurrenceInstance","RecurrenceMonthOfYear","ReminderDateTime","IsReminderSet","ProposedEventTimeframe","LID__Date_Sent__c","LID__URL__c","Activity_Type__c","InviteeUuid__c","SalesLoft1__Call_Disposition__c","Completed_Event__c","Executive_Member_s__c","SalesLoft1__Call_Sentiment__c","SalesLoft1__SalesLoft_Cadence_Name__c","SalesLoft1__SalesLoft_Clicked_Count__c","SalesLoft1__SalesLoft_Email_Template_Title__c","SalesLoft1__SalesLoft_Replies_Count__c","SalesLoft1__SalesLoft_Step_Day__c","MSE_Call_Local_Presence_ID__c","MSE_Call_Recording__c","MSE_Campaign_Details_Link__c","MSE_Campaign__c","MSE_Clicked__c","MSE_Current_Campaign_Step__c","MSE_Details__c","MSE_Email_Status__c","MSE_Presentation_Viewed__c","MSE_Replied__c","MSE_Template_Details__c","MSE_Template__c","MSE_Viewed__c","SalesLoft1__SalesLoft_View_Count__c","COVID_19_Call__c","Call_Outcome__c"
"00U4P00001d5cl3UAA","0034P00002aheTGQAY","0064P00000im3Z1QAI","1","1","Introductory Meeting","","0","2019-08-27 18:30:00","2019-08-27 00:00:00","30","","0014P00002E8tb1QAB","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-08-21 11:27:47","0054P00000ADnbrQAD","2019-10-05 23:42:01","0054P00000AJt5YQAT","2020-08-30 13:25:14","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001d6DRgUAM","0034P00002ZRY24QAH","0064P00000ilri7QAA","2","1","Molina/AH - Soft Launch Kick-Off Call","","0","2019-08-23 17:00:00","2019-08-23 00:00:00","60","","0014P00002Bkow1QAB","0054P00000ADnbrQAD","","0","Busy","0","","0","0","2019-08-26 14:19:17","0054P00000ADnbrQAD","2021-07-06 20:29:57","0056f000009s6VMAAY","2021-07-11 13:14:00","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001d6DlRUAU","000000000000000AAA","0064P00000m2xQ4QAI","0","1","Finalist Presentation","THP - Wheeling, WV","0","2019-08-22 13:30:00","2019-08-22 00:00:00","90","","0014P00002E8tYsQAJ","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-08-26 14:43:54","0054P00000ADnbrQAD","2019-10-14 23:56:36","0054P00000AJt5YQAT","2020-08-23 12:17:38","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hel1sUAA","0034P00002ZRZmtQAH","0064P00000ilriIQAQ","3","1","Meeting - P3Link/Discern Demo","Amida Care - Onsite","0","2019-08-30 16:00:00","2019-08-30 00:00:00","60","","0014P00002CSk8WQAT","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-09-04 11:09:15","0054P00000ADnbrQAD","2019-09-04 11:09:15","0054P00000ADnbrQAD","2020-08-30 13:25:14","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hel5BUAQ","0034P00002al99PQAQ","0064P00000m2xQWQAY","1","1","Call","","0","2019-09-05 20:00:00","2019-09-05 00:00:00","30","Introductory Call.  Confirm next steps with Atheer.","0014P00002BlcFQQAZ","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-09-04 11:14:39","0054P00000ADnbrQAD","2019-10-05 23:32:23","0054P00000AJt5YQAT","2020-09-06 13:55:57","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hg0qWUAQ","0034P00002cT8cUQAS","000000000000000AAA","1","0","","","0","2019-09-10 11:30:00","2019-09-10 00:00:00","60","had breakfast with nai at rise.  she is friends with dave meyer.  she is no longer directly responsible for star ratings but said that she will share my information with their medicare operations director, doug.  I told her that dave would be a great reference check since he works with us.  she said they are hovering around 3 - 3.5 stars.","0014P00002E8tYbQAJ","0054P00000ADne2QAD","","0","Busy","0","","","","2019-09-12 18:49:23","0054P00000ADne2QAD","2019-09-12 18:49:23","0054P00000ADne2QAD","2020-09-13 12:33:13","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hg0vvUAA","0034P00002akjLgQAI","000000000000000AAA","1","0","","","0","2019-09-09 20:00:00","2019-09-09 00:00:00","60","Met with Dr. Tasinga at RISE.  She is interested in medication adherence.  They are struggling with asthma.  They are below 25th percentile and need to get to 50th percentile or will get financially penalized.  They are currently worst in California.  so interested in how we can help close gaps with this measure.  As a next step, she asked me to reach out to Deb Murr, Senior Director of health services to schedule a meeting.","0014P00002E8tjvQAB","0054P00000ADne2QAD","","0","Busy","0","","","","2019-09-12 19:04:52","0054P00000ADne2QAD","2019-09-12 19:04:52","0054P00000ADne2QAD","2020-09-13 12:33:13","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hgkDtUAI","0034P00002cSYchQAG","0064P00000ilriMQAQ","1","1","Data Q&A","","0","2019-09-17 21:00:00","2019-09-17 00:00:00","30","","0014P00002CSlL7QAL","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-09-18 10:23:24","0054P00000ADnbrQAD","2019-09-18 10:23:24","0054P00000ADnbrQAD","2020-09-20 13:24:52","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hgqkiUAA","0034P00002cU0QNQA0","000000000000000AAA","1","0","Martin's Point Health Care - AdhereHealth Intro Call","+1 872-444-6434 Conference ID: 222 679 247#","0","2019-09-24 18:45:00","2019-09-24 00:00:00","15","Hi Rose and Meghan, We?ll use this time to introduce you to AdhereHealth and Chris Dixon, VP of Business Development, on Tuesday 24th @ 1:45-2pm CST. Feel free to forward this invite to anyone you feel should join. As always, don?t hesitate to reach out beforehand if you have any questions or need to reschedule. Looking forward to speaking with you! Best, MA ________________________________________________________________________________ Join Microsoft Teams Meeting<https://teams.microsoft.com/l/meetup-join/19%3ameeting_NzY5NjVjNzYtNDllNi00Y2RmLWFmZDMtM2I2ZTcyNDJkOWQx%40thread.v2/0?context=%7b%22Tid%22%3a%22cf1559db-2aa7-424b-b65f-6e3bb5706c83%22%2c%22Oid%22%3a%228c31c387-d80c-4a61-8902-4940d6ac724a%22%7d> +1 872-444-6434<tel:+1%20872-444-6434,,222679247#>   United States, Chicago (Toll) Conference ID: 222 679 247# Local numbers<https://dialin.teams.microsoft.com/fdd3e29c-b71c-4e40-a458-f38bc2e7fa7b?id=222679247> | Reset PIN<https://mysettings.lync.com/pstnconferencing> | Learn more about Teams<https://go.microsoft.com/fwlink/?linkid=857250> | Meeting options<https://teams.microsoft.com/meetingOptions/?organizerId=8c31c387-d80c-4a61-8902-4940d6ac724a&tenantId=cf1559db-2aa7-424b-b65f-6e3bb5706c83&threadId=19_meeting_NzY5NjVjNzYtNDllNi00Y2RmLWFmZDMtM2I2ZTcyNDJkOWQx@thread.v2&messageId=0&language=en-US> ________________________________________________________________________________","0014P00002CSjUIQA1","0054P00000AgNLhQAN","","0","Busy","0","","","","2019-09-18 19:47:30","0054P00000AgNLhQAN","2019-09-18 19:47:30","0054P00000AgNLhQAN","2020-09-27 13:05:00","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hhg3zUAA","0034P00002ZRYz9QAH","0064P00000ilriMQAQ","2","1","CareFirst BCBS/AdhereHealth - Commercial Pilot Opportunity Assessment Review","","0","2019-10-31 19:00:00","2019-10-31 00:00:00","60","","0014P00002CSlL7QAL","0054P00000ADnbrQAD","","0","Busy","0","","","","2019-09-24 20:47:40","0054P00000ADnbrQAD","2019-10-17 12:25:51","0054P00000ADnbrQAD","2020-11-01 15:38:33","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","0","Cyndi Alexander;Jason Rose;Kempton Presley","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001hhwDLUAY","0034P00002f7UlMQAU","000000000000000AAA","1","0","AdhereHealth","(808) 948-6200 ID: 1699061","0","2019-10-10 20:00:00","2019-10-10 00:00:00","60","Week of 10/7 ? open any day/time Thanks, [cid:2B66B5B3145516429AC990C2CD23CEBD@hmsa.com] Martin Arguello Sales Development Representative Direct 615.988.9428 email Martin.Arguello@adherehealth.com<mailto:Martin.Arguello@adherehealth.com> www.adherehealth.com<https://urldefense.proofpoint.com/v2/url?u=http-3A__www.adherehealth.com_&d=DwMGaQ&c=ZZSG6uzSceltznwRFikYOHauSYVchaEkL60ZFLST4Tg&r=K9Rc2gxu6TwH185AKbX645iVfM64eAGu43zJYDzG7sA&m=nZwVozdpg71lzPxcJusdjomlEFVky-twIJGzLlCMrq0&s=1iOQmtQSSAAULWVQ_9oEr0b2CjXSwNO2Ps_HXGSnGh8&e=> ......................................................................................................................................... à Join Skype Meeting<https://meet.HMSA.com/wendy_iwasaki/L00H6K61> Trouble Joining? Try Skype Web App<https://meet.HMSA.com/wendy_iwasaki/L00H6K61?sl=1> Join by phone HMSA Lync Conference Bridge<tel:HMSA%20Lync%20Conference%20Bridge> (Oahu)               English (Australia) (808) 948-6200<tel:(808)%20948-6200> (Oahu)            English (United Kingdom) Find a local number<https://dialin.HMSA.com> Conference ID: 1699061 Forgot your dial-in PIN?<https://dialin.HMSA.com> |Help<https://o15.officeredir.microsoft.com/r/rlidLync15?clid=1033&p1=5&p2=2009> [!OC([1033])!]   ________________________________ If you have any questions, please reply to this email or contact us<http://www.hmsa.com/contact/> in another way that¡¯s convenient to you. You can also learn more about our plans and get information on our wellness programs at hmsa.com<http://www.hmsa.com/>. We comply with applicable Federal civil rights laws and do not discriminate on the basis of race, color, national origin, age, disability or sex. Non-discrimination notice<https://hmsa.com/non-discrimination-notice/> Need a Language Interpreter? ??lelo Hawai?i<https://hmsa.com/need-a-language-interpreter/#Hawaiian> | Bisaya<https://hmsa.com/need-a-language-interpreter/#Visayan> | ????<https://hmsa.com/need-a-language-interpreter/#Chinese> | Ilokano<https://hmsa.com/need-a-language-interpreter/#Ilocano> | ???<https://hmsa.com/need-a-language-interpreter/#Japanese> | ???<https://hmsa.com/need-a-language-interpreter/#Korean> | ???????<https://hmsa.com/need-a-language-interpreter/#Laotian> | Kajin ?aj??<https://hmsa.com/need-a-language-interpreter/#Marshallese> | Lokaiahn Pohnpei<https://hmsa.com/need-a-language-interpreter/#Pohnpeian> | Gagana S?moa<https://hmsa.com/need-a-language-interpreter/#Faasamoa> | Español<https://hmsa.com/need-a-language-interpreter/#Espanol> | Tagalog<https://hmsa.com/need-a-language-interpreter/#Tagalog> | Tonga<https://hmsa.com/need-a-language-interpreter/#Fakatonga> | Foosun Chuuk<https://hmsa.com/need-a-language-interpreter/#Trukese> | Ti?ng Vi?t<https://hmsa.com/need-a-language-interpreter/#Viet> ________________________________ This electronic message is not an offer to contract, the acceptance of an offer to contract, or in any other way intended to contractually obligate HMSA; neither is it intended to change the terms of any existing contract unless specifically so stated. The information contained in this electronic message (or attached hereto) is intended only for the individual or entity to which it is addressed and may contain information that is confidential and protected by law. If you are not the intended recipient of this e-mail, you are cautioned that use of its contents in any way is prohibited and may be unlawful. If you have received this communication in error, please notify the sender immediately by e-mail or telephone, return the original message by e-mail to the sender or to postmaster@hmsa.com, and permanently delete the original message and any attachments to it. We will reimburse you for any cost you incur in notifying us of the errant e-mail. Thank you.","0014P00002E8tiEQAR","0054P00000AgNLhQAN","","0","Busy","0","","","","2019-09-26 14:06:08","0054P00000AgNLhQAN","2019-10-07 02:52:23","0054P00000AJt5YQAT","2020-10-11 13:38:51","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001if7mBUAQ","0034P00002ZRZnAQAX","0064P00000m2xPxQAI","1","1","Meeting","","0","2019-09-25 14:00:00","2019-09-25 00:00:00","60","Review enhanced population analysis","0014P00002E8ti2QAB","0054P00000ADnbrQAD","","0","Busy","0","","0","0","2019-09-30 13:06:56","0054P00000ADnbrQAD","2021-07-06 20:29:57","0056f000009s6VMAAY","2021-07-11 13:14:01","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"00U4P00001if7nYUAQ","0034P00002ZRY24QAH","0064P00000ilri7QAA","2","1","Implementation Kick-Off","","0","2019-10-04 19:00:00","2019-10-04 00:00:00","60","","0014P00002Bkow1QAB","0054P00000ADnbrQAD","","0","Busy","0","","0","0","2019-09-30 13:08:04","0054P00000ADnbrQAD","2021-07-06 20:29:57","0056f000009s6VMAAY","2021-07-11 13:14:01","1","","0","","","","","","","","","","","0","10BusinessDays","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
