"Id","LinkedEntityId","ContentDocumentId","IsDeleted","SystemModstamp","ShareType","Visibility"
"06A4P000009xfUvUAI","0054P000006UvTxQAK","0694P000007vvvuQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfUxUAI","0054P000006UvTxQAK","0694P000007vvvvQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfUzUAI","0054P000006UvTxQAK","0694P000007vvvwQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfV1UAI","0054P000006UvTxQAK","0694P000007vvvxQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfV3UAI","0054P000006UvTxQAK","0694P000007vvvyQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVEUAY","0054P000006UvTxQAK","0694P000007vvvzQAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVIUAY","0054P000006UvTxQAK","0694P000007vvw0QAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVJUAY","00D4P000000gmc1UAA","0694P000007vvw0QAA","0","2019-05-20 18:45:46","V","AllUsers"
"06A4P000009xfVKUAY","0054P000006UvTxQAK","0694P000007vvw2QAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVLUAY","00D4P000000gmc1UAA","0694P000007vvw2QAA","0","2019-05-20 18:45:46","V","AllUsers"
"06A4P000009xfVMUAY","0054P000006UvTxQAK","0694P000007vvw1QAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVNUAY","00D4P000000gmc1UAA","0694P000007vvw1QAA","0","2019-05-20 18:45:46","V","AllUsers"
"06A4P000009xfVOUAY","0054P000006UvTxQAK","0694P000007vvw3QAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVPUAY","00D4P000000gmc1UAA","0694P000007vvw3QAA","0","2019-05-20 18:45:46","V","AllUsers"
"06A4P000009xfVQUAY","0054P000006UvTxQAK","0694P000007vvw4QAA","0","2019-05-20 18:45:46","I","AllUsers"
"06A4P000009xfVRUAY","00D4P000000gmc1UAA","0694P000007vvw4QAA","0","2019-05-20 18:45:46","V","AllUsers"
"06A4P00000AePbXUAV","00D4P000000gmc1UAA","0694P000007ul8rQAA","0","2019-07-23 12:59:18","V","AllUsers"
"06A4P00000AePbqUAF","0054P000006UvTxQAK","0694P000007ul8rQAA","0","2019-07-23 12:59:18","I","AllUsers"
"06A4P00000AePcZUAV","0054P000006UvTxQAK","0694P000007ul9LQAQ","0","2019-07-23 13:06:20","I","AllUsers"
"06A4P00000AePceUAF","00D4P000000gmc1UAA","0694P000007ul9LQAQ","0","2019-07-23 13:06:20","V","AllUsers"
"06A4P00000AfGaVUAV","0054P000006UvTxQAK","0694P000008vykAQAQ","0","2019-08-01 17:07:01","I","AllUsers"
"06A4P00000AfGaaUAF","00D4P000000gmc1UAA","0694P000008vykAQAQ","0","2019-08-01 17:07:02","V","AllUsers"
"06A4P00000AfGbxUAF","0054P000006UvTxQAK","0694P000008vykyQAA","0","2019-08-01 17:12:15","I","AllUsers"
"06A4P00000AfGc2UAF","00D4P000000gmc1UAA","0694P000008vykyQAA","0","2019-08-01 17:12:16","V","AllUsers"
"06A4P00000AfGdyUAF","0054P000006UvTxQAK","0694P000008vymBQAQ","0","2019-08-01 17:17:56","I","AllUsers"
"06A4P00000AfGe3UAF","00D4P000000gmc1UAA","0694P000008vymBQAQ","0","2019-08-01 17:17:56","V","AllUsers"
"06A4P00000AfGfvUAF","00D4P000000gmc1UAA","0694P000008vyniQAA","0","2019-08-01 17:25:56","V","AllUsers"
"06A4P00000AfGgJUAV","0054P000006UvTxQAK","0694P000008vyniQAA","0","2019-08-01 17:25:55","I","AllUsers"
"06A4P00000AfGgdUAF","0054P000006UvTxQAK","0694P000008vynxQAA","0","2019-08-01 17:27:31","I","AllUsers"
"06A4P00000AfGgiUAF","00D4P000000gmc1UAA","0694P000008vynxQAA","0","2019-08-01 17:27:31","V","AllUsers"
